Category,Sub-Category,Material Section,material name,material variant name,GWP,units,locations,density
Basic Materials,Other,Other,Paper,Paper/ cellulose,1.57,T,Australia,300
Basic Materials,Other,Other,Paper,Paper/ cellulose,0.449,T,Europe,300
Basic Materials,Other,Other,Paper,Paper/ cellulose,4.9,T,United Kingdom,300
Basic Materials,Brick & Blockwork,Blockwork,Concrete block,Autoclaved Aerated Concrete block (AAC),0.326,T,Europe,640
Basic Materials,Brick & Blockwork,Blockwork,Concrete block,Autoclaved Aerated Concrete block (AAC),0.307,T,United Kingdom,640
Basic Materials,Other,Other,Cardboard,Virgin,2.7,T,Australia,689
Basic Materials,Plastic,Plastic,Plastic Foam,Polyurethane Rigid Foam,0.005,kg,Australia,961
Basic Materials,Plastic,Plastic,Plastic Foam,Polyurethane Flexible Foam,0.006,kg,Australia,961
Basic Materials,Plastic,Plastic,Plastic,Acrylonitrile butadiene styrene (ABS),16,T,Australia,1050
Basic Materials,Plastic,Plastic,Plastic,Acrylonitrile butadiene styrene (ABS),3.13,T,Europe,1050
Basic Materials,Plastic,Plastic,Plastic,Acrylonitrile butadiene styrene (ABS),3.79,T,United Kingdom,1050
Basic Materials,Plastic,Plastic,Plastic,Polycarbonate,14,T,Australia,1220
Basic Materials,Plastic,Plastic,Plastic,Polycarbonate,3.427,T,Europe,1220
Basic Materials,Plastic,Plastic,Plastic,Polycarbonate,7.62,T,United Kingdom,1220
Basic Materials,Plastic,Plastic,Plastic,Polypropylene,7.4,T,Australia,1220
Basic Materials,Plastic,Plastic,Plastic,Polypropylene,2.027,T,Europe,1220
Basic Materials,Plastic,Plastic,Plastic,Polypropylene,4.52,T,United Kingdom,1220
Basic Materials,Plastic,Plastic,Plastic,Polyvinyl Chloride (PVC),11.2,T,Australia,1380
Basic Materials,Plastic,Plastic,Plastic,Polyvinyl Chloride (PVC),5.79,T,Europe,1380
Basic Materials,Plastic,Plastic,Plastic,Poly-ethyleneterephthalate (PET),6.4,T,Australia,1380
Basic Materials,Plastic,Plastic,Plastic,Poly-ethyleneterephthalate (PET),3.52,T,Europe,1380
Basic Materials,Plastic,Plastic,Plastic,Poly-ethyleneterephthalate (PET),2.57,T,United Kingdom,1380
Basic Materials,Plastic,Plastic,Plastic,Polyvinyl Chloride (PVC),3.13,T,United Kingdom,1380
Basic Materials,Cement,Cement Alternatives,Cement Blends,GGBS 50%,0.599,T,Australia,1440
Basic Materials,Cement,Cement Alternatives,Cement Blends,GGBS 50%,0.475,T,United Kingdom,1440
Basic Materials,Cement,Portland Cement (OPC),Cement Blends,Ordinary Portland Cement (OPC/CEM I),1.15,T,Australia,1440
Basic Materials,Cement,Portland Cement (OPC),Cement Blends,Ordinary Portland Cement (OPC/CEM I),0.835,T,Europe,1440
Basic Materials,Cement,Portland Cement (OPC),Cement Blends,Ordinary Portland Cement (OPC/CEM I),0.939,T,United Kingdom,1440
Basic Materials,Cement,Portland Cement (OPC),Cement Blends,Ordinary Portland Cement (OPC/CEM I),1.086,T,United States or  Canada,1440
Basic Materials,Cement,Geopolymer Cement (GPC),Cement Blends,Geopolymer Cement Blend (GPC),0.118,T,Australia,1440
Basic Materials,Cement,Geopolymer Cement (GPC),Cement Blends,Geopolymer Cement Blend (GPC),0.118,T,Europe,1440
Basic Materials,Cement,Geopolymer Cement (GPC),Cement Blends,Geopolymer Cement Blend (GPC),0.118,T,United Kingdom,1440
Basic Materials,Cement,Geopolymer Cement (GPC),Cement Blends,Geopolymer Cement Blend (GPC),0.118,T,United States or  Canada,1440
