Material,Sub Category,Embodied Carbon,Declared Units,db
Concrete,Concrete 20 MPa,328,m3,EpiC
Concrete,Concrete 20 MPa - fly ash,251,m3,EpiC
Concrete,Concrete 20 MPa - GGBS,263,m3,EpiC
Concrete,Concrete 25 MPa,361,m3,EpiC
Concrete,Concrete 25 MPa - fly ash,277,m3,EpiC
Concrete,Concrete 25 MPa - GGBS,293,m3,EpiC
Concrete,Concrete 32 MPa,416,m3,EpiC
Concrete,Concrete 32 MPa - fly ash,314,m3,EpiC
Concrete,Concrete 32 MPa - GGBS,331,m3,EpiC
Concrete,Concrete 40 MPa,497,m3,EpiC
Concrete,Concrete 40 MPa - fly ash,373,m3,EpiC
Concrete,Concrete 40 MPa - GGBS,392,m3,EpiC
Concrete,Concrete 50 MPa,600,m3,EpiC
Concrete,Concrete 50 MPa - fly ash,467,m3,EpiC
Concrete,Concrete 50 MPa - GGBFS,492,m3,EpiC
Aluminium,Aluminium extruded,29.4,kg,EpiC
Aluminium,Aluminium angle extruded,32.7,kg,EpiC
Aluminium,Aluminium extruded powdercoated,33.6,kg,EpiC
Aluminium,Aluminium sheet,26.7,kg,EpiC
Aluminium,Aluminium sheet - 1.6 mm,116,m2,EpiC
Aluminium,Aluminium sheet - 3 mm,217,m2,EpiC
Aluminium,Aluminium sheet - 6 mm,434,m2,EpiC
Steel,Steel galvanised structural steel,3.3,kg,EpiC
Steel,Steel structural steel section,2.9,kg,EpiC
Steel,Steel hollow section extruded,4.6,kg,EpiC
Steel,Steel bar,2.1,kg,EpiC
Steel,Steel pipe,3.5,kg,EpiC
Steel,Steel sheet corrugated,5.5,kg,EpiC
Brick,Clay brick,0.32,kg,EpiC
Brick,Concrete block,0.24,kg,EpiC
Brick,Dimension stone,1.3,kg,EpiC
Timber,Cross laminated timber (CLT),645,m3,EpiC
Timber,CLT - 60 mm,38.7,m2,EpiC
Timber,CLT - 105 mm,67.7,m2,EpiC
Timber,CLT - 175 mm,113,m2,EpiC
Timber,Glued laminated timber (glulam),1718,m3,EpiC
Timber,Laminated veneer lumber (LVL),1059,m3,EpiC
Timber,Plywood outdoor,1777,m3,EpiC
Timber,Timber Hardwood,944,m3,EpiC
Timber,Timber Hardwood kiln-dried - dressed,2269,m3,EpiC
Timber,Timber Hardwood kiln-dried - structural,1178,m3,EpiC
Timber,Timber Softwood,549,m3,EpiC
Timber,Timber Softwood kiln-dried,583,m3,EpiC
